gu,dong,title,link,status,is_OLED,is_Lite,is_Edition,price_clean,content,posted_time,is_Set
강남구,청담동,닌텐도 스위치 KORG Gadget,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-korg-gadget-h75nbf64vvi1/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중,False,False,False,110000,"국내 발매안한 닌텐도 스위치용 시퀀싱 프로그램인 korg gadget 입니다 내장 악기, 이팩터, 믹서 등 작곡에 필요한 요소 다 있고 큐베이스나 에이블톤 생각하시면 됩니다~~!! 희귀 매물!! 상태 좋아요~!!! (절판 모델이라 온라인스토어에도 없음)",2025-04-15,False
강남구,청담동,닌텐도 스위치 마리오카트 8 디럭스 세트,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%A7%88%EB%A6%AC%EC%98%A4%EC%B9%B4%ED%8A%B8-8-%EB%94%94%EB%9F%AD%EC%8A%A4-%EC%84%B8%ED%8A%B8-n4insu8ixti9/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,230000,닌텐도 스위치 마리오카트 8 디럭스 세트 팝니다.  사진에 있는 닌텐도 구성품 다 있습니다. (게임칩은 별도로 판매하고 있습니다.)  구매뒤에 몇번 하지 않았습니다.,2025-04-15,True
강남구,청담동,닌텐도 스위치 풀구성,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%ED%92%80%EA%B5%AC%EC%84%B1-ekq8d8gkftok/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,250000,닌텐도 스위치 선물받고 몇번 사용안한 제품입니다  박스부터 풀구성으로  되어있습니다 동물의숲 저스트 댄스2020 패드실리콘케이스 액정보호필름 등  보시면 새거같은 느낌입니다,2025-04-13,True
강남구,청담동,(사진구성대로 드려요) 닌텐도 스위치 배터리개선 네온블루/레드,https://www.daangn.com/kr/buy-sell/%EC%82%AC%EC%A7%84%EA%B5%AC%EC%84%B1%EB%8C%80%EB%A1%9C-%EB%93%9C%EB%A0%A4%EC%9A%94-%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%B0%B0%ED%84%B0%EB%A6%AC%EA%B0%9C%EC%84%A0-%EB%84%A4%EC%98%A8%EB%B8%94%EB%A3%A8-%EB%A0%88%EB%93%9C-g8d5u4iqmoq8/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중,False,False,False,200000,"닌텐도 스위치 배터리개선 네온블루/레드   20.3월에 구매했습니다. 액정필름을 잘못붙여서 줄가있는것처럼 보이는데 깨진곳없고 멀쩡합니다.  조이콘커버랑 스틱커버, 닌텐도파우치, 박스대신 쓸 캐리어 다드립니다. 강아지털이 좀 붙어있어요.  *사진  참고부탁드려요*  (추가사진 요청하시면 보내드릴게요.)  직거래 금액으로 올린거고, 거래희망장소에서만 합니다. (성동구 하왕십리 , 지하철거래x) 택배원하실 경우 추가비용주시면 보내드릴게요~(네고x,직거래해도 네고x) gs,cu 1800원 일반택배 3200원  택배보내드리기전 제품 한번더 확인하고 보내드릴예정입니다.  거래시 교환, 환불은 불가합니다! 정리중인거라 다른 물건과 교환 안합니다ㅠ문의xx",2025-04-05,False
강남구,청담동,닌텐도 스위치 OLED 젤다 에디션,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%EC%A0%A4%EB%8B%A4-%EC%97%90%EB%94%94%EC%85%98-2ofq4ikiobnv/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중,True,False,True,250000,"닌텐도 스위치 OLED 젤다 에디션입니다 작년에 사서 두어번 해보다가  요즘 할시간도 없어서 싸게 정리합니다.  서랍에 쳐박아둬서 상태는 아주 깨끗합니다.   본체랑 조이콘, 독 등 있습니다.",2025-04-03,False
강남구,청담동,닌텐도 스위치 몬스터 헌터 에디션,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%AA%AC%EC%8A%A4%ED%84%B0-%ED%97%8C%ED%84%B0-%EC%97%90%EB%94%94%EC%85%98-bckte89io54d/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중,False,False,True,330000,"미국에서 거주때 샀던 닌텐도 스위치 몬스터 헌터 에디션입니다!   몬헌 라이즈 하려고 샀지만 결국 pc 버전이 나와서 몇번 안하고 방치되어서 팝니다!   구매하자마자 스크린 프로텍터와 케이스에 넣고 있었고 스크래치도, 하자도 없습니다.   재미있다는 게임도 사서 해봤지만 제 취향은 아니라 싸게 같이 드려요! 젤다 포함입니다!  컨트롤러 또한 당시 10만원 정도 주고 샀습니다! 이젠 구할수도 없는 리미티드 에디션입니다 :)",2025-02-26,True
강남구,청담동,닌텐도 스위치 oled 박스 풀셋,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%EB%B0%95%EC%8A%A4-%ED%92%80%EC%85%8B-dgzcv1fax5xc/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중,True,False,False,300000,플스 하다보니 거의 사용할시간이 없어서 판매 합니다 ㅡ 구입날짜는 22년 10월 입니다,2025-01-31,True
강남구,청담동,"닌텐도 스위치 OLED , 프로콘",https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%94%84%EB%A1%9C%EC%BD%98-qmuwu4zx7ny9/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중,True,False,False,330000,사놓고 플스하느라 거의 못해서 판매 합니다 ㅜ 둘다 박스및 풀셋입니다 ㅡ,2025-01-28,True
강남구,청담동,"닌텐도 스위치, 동물의 숲, 스매시브라더스 같이 가져가세요",https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%8F%99%EB%AC%BC%EC%9D%98-%EC%88%B2-%EC%8A%A4%EB%A7%A4%EC%8B%9C%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4-%EA%B0%99%EC%9D%B4-%EA%B0%80%EC%A0%B8%EA%B0%80%EC%84%B8%EC%9A%94-n84oxhcjj5dx/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중,False,False,False,200000,"닌텐도 스위치, 동물의 숲, 스매시 브라더스 다 합쳐서 팝니다. 미국에서 구매했기는 한데 한국어로도 별도의 설정 없이 작동 잘 됩니다. 강남구청역 직거래 희망합니다. 기기상태 최상   개별구매 닌텐도 스위치 14만원 동물의 숲 4.5만원 스매시브라더스 4만원",2024-10-08,True
강남구,청담동,청담동,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EC%A0%A4%EB%8B%A4%EC%9D%98-%EC%A0%84%EC%84%A4-%EB%B8%8C%EB%A0%88%EC%8A%A4-%EC%98%A4%EB%B8%8C-%EB%8B%A4-%EC%99%80%EC%9D%BC%EB%93%9C-c6k4nft4h9zh/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중,False,False,False,280000,중고 닌텐도 스위치 판매 합니다 구성품 + 박스 + 캐리어 박스 + 젤다의 전설 (개봉)  플레이 시간 10시간 미만이고 독에 사용해서 기기 스크레치는 따로 없습니다.  직거래는 청담/로데오 입니다.,2024-06-03,True
